frame,time_remaining,score_a,score_b
30600,477,120,194
30660,,120,194
30720,,191,194
30780,,191,194
30840,,190,194
30900,,,194
30960,,198,194
31020,,198,194
31080,,194,194
31140,,195,194
31200,,198,194
31260,,197,194
31320,,198,194
31380,,195,194
31440,,190,194
31500,,190,194
31560,,,194
31620,470,198,194
31680,452,198,194
31740,452,198,194
31800,452,198,195
31860,452,198,198
31920,452,198,198
31980,452,198,198
32040,452,194,198
32100,457,195,198
32160,457,195,198
32220,457,195,198
32280,458,195,198
32340,456,195,198
32400,456,198,198
32460,456,197,198
32520,456,198,198
32580,456,198,198
32640,456,198,198
32700,455,198,198
32760,453,198,198
32820,453,198,197
32880,453,198,198
32940,453,198,198
33000,453,198,190
33060,453,198,
33120,453,198,198
33180,453,198,198
33240,453,198,194
33300,453,198,195
33360,453,198,198
33420,452,198,198
33480,452,198,198
33540,452,198,197
33600,457,198,197
33660,457,198,197
33720,450,206,197
33780,,206,197
33840,,101,197
33900,,203,197
33960,,203,197
34020,,204,197
34080,,204,197
34140,450,204,197
34200,432,204,197
34260,432,204,197
34320,437,204,197
34380,437,206,197
34440,437,206,197
34500,437,207,197
34560,437,206,197
34620,437,203,197
34680,447,110,197
34740,447,,197
34800,447,210,197
34860,447,215,197
34920,88,215,197
34980,78,217,197
35040,78,119,197
35100,78,119,197
35160,78,210,197
35220,78,210,197
35280,88,119,197
35340,88,215,197
35400,88,231,197
35460,88,181,197
35520,88,231,197
35580,78,231,197
35640,78,241,197
35700,78,231,197
35760,78,231,197
35820,78,237,197
35880,78,231,197
35940,88,231,197
36000,88,231,197
36060,88,201,197
36120,88,233,197
36180,78,233,197
36240,436,233,197
36300,435,233,197
36360,435,234,197
36420,435,233,197
36480,435,231,197
36540,433,231,197
36600,71,231,197
36660,437,231,197
36720,,231,197
36780,,231,198
36840,,231,195
36900,,231,210
36960,430,231,210
37020,492,231,210
37080,492,231,210
37140,497,231,210
37200,497,231,80
37260,497,231,177
37320,497,231,175
37380,497,231,174
37440,497,231,175
37500,497,231,219
37560,498,231,219
37620,496,231,219
37680,496,231,219
37740,496,231,100
37800,496,231,219
37860,496,231,175
37920,495,231,175
37980,495,231,175
38040,493,231,175
38100,492,231,175
38160,497,231,175
38220,,231,175
38280,490,231,175
38340,490,231,190
38400,490,231,
38460,490,231,198
38520,,231,198
38580,,231,198
38640,,231,198
38700,,231,198
38760,,231,198
38820,,231,198
38880,,231,198
38940,,231,194
39000,,231,195
39060,,231,198
39120,,231,198
39180,,231,198
39240,,231,198
39300,,231,197
39360,,231,198
39420,,231,195
39480,,231,190
39540,,231,190
39600,,231,190
39660,,231,190
39720,,231,
39780,,231,150
39840,,231,150
39900,422,231,150
39960,427,231,150
40020,428,231,150
40080,426,231,150
40140,425,231,150
40200,423,231,150
40260,421,231,150
40320,421,231,150
40380,421,237,150
40440,427,237,150
40500,,237,194
40560,,237,194
40620,,237,195
40680,,237,198
40740,,237,198
40800,420,237,198
40860,,237,198
40920,,237,198
40980,,237,198
41040,,237,198
41100,,231,198
41160,,231,198
41220,,231,197
41280,,231,198
41340,,231,198
41400,,231,198
41460,,231,198
41520,,231,198
41580,,231,198
41640,,231,198
41700,,231,198
41760,,231,206
41820,,231,210
41880,,231,203
41940,,231,203
42000,,231,203
42060,,231,203
42120,,231,203
42180,,231,203
42240,,231,203
42300,,231,203
42360,,231,204
42420,,231,206
42480,,231,206
42540,,231,207
42600,,231,206
42660,,231,206
42720,,231,230
42780,,231,27
42840,,231,
42900,,231,
42960,,231,
43020,,231,217
43080,,231,215
43140,,231,217
43200,,231,215
43260,,231,215
43320,,231,239
43380,,231,239
43440,,231,239
43500,,231,239
43560,,233,239
43620,,233,239
43680,,233,239
43740,,233,239
43800,,233,239
43860,,246,239
43920,,241,239
43980,,243,239
44040,,243,239
44100,,244,239
44160,,244,239
44220,,246,239
44280,,246,239
44340,,247,239
44400,,246,239
44460,,243,239
44520,,,
44580,,188,188
44640,,188,188
44700,,188,188
44760,,188,188
44820,,188,188
44880,,188,188
44940,,188,188
45000,,188,
45060,,188,
45120,,188,188
45180,,188,188
45240,,188,188
45300,,188,188
45360,,188,188
45420,,188,188
45480,,,
45540,,,
45600,,,
45660,,,
45720,,,
45780,,,
45840,,,
45900,,,
45960,,,
46020,,,
46080,,,
46140,,,
46200,,,
46260,,,
46320,,,
46380,,,
46440,,,
46500,,,
46560,,,
46620,,,
46680,,,
46740,,,
46800,,231,239
46860,,231,239
46920,,231,239
46980,,231,239
47040,,231,239
47100,,231,239
47160,,231,239
47220,,231,239
47280,,231,239
47340,,231,239
47400,,231,239
47460,,231,239
47520,,231,239
47580,,231,239
47640,,231,239
47700,,231,239
47760,,231,239
47820,,231,239
47880,,231,239
47940,,231,239
48000,,231,239
48060,,231,239
48120,,231,239
48180,,231,239
48240,,231,239
48300,,231,239
48360,,231,239
48420,,231,239
48480,,231,239
48540,,231,239
48600,,231,239
48660,,231,239
48720,,231,239
48780,,231,239
48840,,,
48900,77,70,
48960,77,108,
49020,77,108,
49080,78,108,
49140,86,108,
49200,73,108,
49260,73,108,180
49320,77,100,
49380,77,70,
49440,77,108,
49500,77,108,
49560,218,219,145
49620,218,187,145
49680,128,213,145
49740,128,219,145
49800,472,84,145
49860,472,198,145
49920,472,198,145
49980,472,194,145
50040,477,194,145
50100,478,198,145
50160,476,198,145
50220,475,198,145
50280,475,198,145
50340,475,198,145
50400,455,198,198
50460,453,198,198
50520,453,198,197
50580,453,198,198
50640,453,198,198
50700,,198,197
50760,457,198,197
50820,457,198,197
50880,457,206,197
50940,,206,197
51000,437,210,197
51060,437,215,197
51120,78,215,197
51180,78,141,197
51240,78,119,197
51300,78,119,197
51360,,231,194
51420,,231,195
51480,,231,198
51540,,231,198
51600,,231,198
51660,,231,198
51720,,231,203
51780,,231,203
51840,,231,203
51900,,231,203
51960,,231,239
52020,,233,239
52080,,233,239
52140,,233,239
52200,,233,239
52260,,233,239
52320,,247,239
52380,,246,239
52440,,243,239
52500,,,
52560,,,
52620,,,
52680,,,
52740,,,
52800,,,
52860,,,
52920,,,
52980,,,
53040,,,
53100,,,
53160,,,
53220,,,
53280,,,164
53340,,,
53400,,,
53460,,,
53520,,,
53580,,,
53640,,,
53700,,,
53760,,,
53820,,,
53880,,,
53940,,,
54000,,,
54060,,,
54120,,,
54180,,,
54240,,,164
54300,,,
54360,,,
54420,,,
54480,,,
54540,,,
54600,,,
54660,,,
54720,,,
54780,,,
54840,,,
54900,,,
54960,,,
55020,,,
55080,,,
55140,,,
55200,,,
55260,,,
55320,,,
55380,,,
55440,,,
55500,,,
55560,,,
55620,,,
55680,,,
55740,,,
55800,,,
55860,,,
55920,,,
55980,,,
56040,,,
56100,,,
56160,,,
56220,,,
56280,,,
56340,,,
56400,,,
56460,,,
56520,,,
56580,,,
56640,,,
56700,,,
56760,,,
56820,,,
56880,,,
56940,,,
57000,,,
57060,,,
57120,,,
57180,,,
57240,,,
57300,,,
57360,,,
57420,,,
57480,,,
57540,,,
57600,,,
57660,,,
57720,,,
57780,,,
57840,,,
57900,,,
57960,,,
58020,,,
58080,,,
58140,,,
58200,,,
58260,,,
58320,,,
58380,,,
58440,,,
58500,,,
58560,,,
58620,,,
58680,,,
58740,,,
58800,,,
58860,,,
58920,,,
58980,,,
59040,,,
59100,,,
59160,,,
59220,,,
59280,,,
59340,,,
59400,,,
59460,,,
59520,,,
59580,,,
59640,,,
59700,,,
59760,,,
59820,,,
59880,,,
59940,,,
60000,,,
60060,,,
60120,,,
60180,,,
60240,,,
60300,,,
60360,,,
60420,,,
60480,,,
60540,,,
60600,,,
60660,,,
60720,,,
60780,,,
60840,,,
60900,,186,
60960,,,
61020,,,
61080,,,
61140,,,
61200,,,
61260,,,
61320,,,
61380,,,
61440,,,
61500,,,
61560,,,
61620,,0,0
61680,,0,0
61740,,0,0
61800,,0,0
61860,,0,0
61920,,0,0
61980,,0,0
62040,,0,0
62100,,0,0
62160,,0,0
62220,,0,0
62280,,0,0
62340,,0,0
62400,,0,0
62460,,0,0
62520,,0,0
62580,,0,0
62640,,0,0
62700,,0,0
62760,,0,0
62820,,0,0
62880,,0,0
62940,,0,0
63000,,0,0
63060,,0,0
63120,,0,0
63180,,0,0
63240,,0,0
63300,,0,0
63360,52,0,0
63420,57,0,0
63480,478,0,0
63540,56,0,0
63600,55,0,0
63660,53,0,0
63720,471,0,0
63780,57,0,0
63840,,0,0
63900,59,0,0
63960,32,0,0
64020,37,0,0
64080,458,0,0
64140,36,0,0
64200,35,0,0
64260,33,0,0
64320,451,0,0
64380,37,0,0
64440,,0,0
64500,579,0,0
64560,12,0,0
64620,437,0,0
64680,438,0,0
64740,16,0,0
64800,435,0,0
64860,433,0,0
64920,432,0,0
64980,447,0,0
65040,,0,0
65100,20,0,0
65160,,0,0
65220,,0,0
65280,,0,0
65340,,0,0
65400,,0,0
65460,,,
65520,,,
65580,,,
65640,,,
65700,,,
65760,,,
65820,,,
65880,,,
65940,,,
66000,,,
66060,,,
66120,,,142
66180,,,
66240,,188,188
66300,,188,188
66360,,188,188
66420,,188,188
66480,,188,
66540,,188,
66600,,186,188
66660,,186,188
66720,,,224
66780,,,
66840,,,
66900,,,
66960,,,
67020,,,
67080,,,
67140,,,
67200,,,
67260,,,
67320,,,
67380,,,
67440,,,
67500,,,
67560,,,
67620,,0,1
67680,,0,1
67740,,0,1
67800,,0,1
67860,,0,1
67920,,0,1
67980,,0,1
68040,,0,1
68100,,0,1
68160,,0,1
68220,,0,1
68280,,0,1
68340,,0,1
68400,,0,1
68460,,0,1
68520,,0,1
68580,,0,1
68640,,0,1
68700,,0,1
68760,,0,1
68820,,0,1
68880,,0,1
68940,,0,1
69000,,0,1
69060,,0,1
69120,,0,1
69180,,0,1
69240,,0,1
69300,,0,1
69360,,0,1
69420,,0,1
69480,,0,1
69540,52,0,1
69600,57,0,1
69660,478,0,1
69720,56,0,1
69780,55,0,1
69840,53,0,1
69900,471,0,1
69960,57,0,1
70020,,0,1
70080,50,0,1
70140,32,0,1
70200,37,0,1
70260,458,0,1
70320,36,0,1
70380,35,0,1
70440,33,0,1
70500,451,0,1
70560,37,0,1
70620,,0,1
70680,30,0,1
70740,12,0,1
70800,437,0,1
70860,438,0,1
