epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
25,1801.29,0.7589,0.49727,0.90369,0.51955,0.61416,0.56573,0.4121,0.94955,1.31387,1.04398,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,1838,0.80102,0.49672,0.9238,0.52121,0.63118,0.55769,0.41068,0.94877,1.27316,1.04551,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,1872.98,0.75355,0.47819,0.92166,0.51185,0.66059,0.55054,0.40524,0.96896,1.21803,1.05181,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
44,2893.37,0.61805,0.37199,0.86973,0.56927,0.65964,0.57043,0.41978,0.96182,1.39298,1.07244,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,2928.22,0.65256,0.40719,0.89888,0.57311,0.62118,0.58017,0.4286,0.95354,1.37563,1.06972,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,2964.71,0.60201,0.36194,0.86623,0.51995,0.60803,0.58812,0.4383,0.95219,1.41519,1.06256,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,3011.64,0.62767,0.36891,0.86884,0.57032,0.66529,0.60109,0.45022,0.95327,1.33406,1.06615,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,3054.94,0.60588,0.35339,0.8718,0.56497,0.72912,0.60625,0.45217,0.94542,1.2742,1.06405,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,3102.32,0.56911,0.34147,0.85385,0.5623,0.69168,0.60298,0.45867,0.94276,1.28929,1.06212,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,3147.03,0.572,0.33955,0.85441,0.571,0.68941,0.6055,0.44956,0.9565,1.33828,1.06556,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,3209.8,0.56243,0.32614,0.85849,0.61622,0.67773,0.61349,0.45958,0.94763,1.26579,1.07131,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,3257.44,0.59843,0.35745,0.86167,0.61687,0.67958,0.61998,0.45903,0.96137,1.25349,1.07574,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,3299.94,0.54838,0.34413,0.85212,0.64216,0.6078,0.59735,0.44194,0.97123,1.40631,1.08349,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,3449.78,0.55722,0.31812,0.85301,0.61228,0.60088,0.5834,0.42987,0.97047,1.52669,1.07992,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,3490.73,0.53975,0.31879,0.84431,0.62601,0.57647,0.56642,0.42071,0.96389,1.56221,1.08313,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,3565.85,0.55353,0.3151,0.83864,0.63423,0.5674,0.5733,0.43174,0.94796,1.55851,1.07607,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,3614.71,0.56949,0.34481,0.85371,0.63257,0.61348,0.57594,0.4293,0.94534,1.46609,1.07396,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,3674,0.52394,0.32142,0.82946,0.62208,0.61588,0.57971,0.43531,0.93811,1.44666,1.07224,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,3724.75,0.53365,0.31591,0.85018,0.67124,0.57088,0.59245,0.44374,0.94068,1.49954,1.07224,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,3774.27,0.54334,0.32161,0.84912,0.64551,0.60088,0.58633,0.43921,0.93831,1.44412,1.0747,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,3816.61,0.52121,0.31687,0.85765,0.64385,0.62559,0.5907,0.43765,0.94805,1.38733,1.08381,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,3856.09,0.51292,0.31719,0.83752,0.66325,0.60448,0.58601,0.43803,0.93072,1.41877,1.07106,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,3901.4,0.52827,0.33178,0.85596,0.62179,0.62097,0.58215,0.44174,0.92137,1.47031,1.06315,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,3939.83,0.55133,0.31818,0.8452,0.65511,0.61588,0.59064,0.44709,0.92426,1.37877,1.06289,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,3998.68,0.48709,0.29529,0.82795,0.62755,0.64141,0.58584,0.44517,0.92896,1.34633,1.06487,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
